,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,WL
0,240,25,81,0.309,6,35,0.171,12,19,0.632,8,25,33,16,11,3,22,21,68,-1
1,240,27,77,0.35100000000000003,8,37,0.21600000000000003,12,18,0.667,10,27,37,20,7,7,18,23,74,-1
2,240,26,83,0.313,7,36,0.19399999999999998,16,18,0.889,11,33,44,11,6,5,13,19,75,-1
3,240,27,97,0.278,8,34,0.235,13,16,0.813,17,32,49,16,7,3,13,22,75,-1
4,240,32,89,0.36,8,28,0.28600000000000003,4,5,0.8,7,35,42,18,8,2,16,18,76,-1
5,240,31,81,0.38299999999999995,6,24,0.25,9,14,0.643,8,29,37,16,3,2,17,17,77,-1
6,240,28,86,0.326,8,33,0.242,16,24,0.667,13,34,47,20,4,5,9,22,80,-1
7,240,31,82,0.37799999999999995,11,42,0.262,7,10,0.7,12,27,39,16,9,3,17,26,80,-1
8,240,26,85,0.306,7,40,0.175,22,33,0.667,13,30,43,17,9,5,10,23,81,-1
9,240,29,93,0.312,7,30,0.233,16,21,0.762,13,25,38,18,9,4,11,21,81,-1
10,240,31,87,0.35600000000000004,5,34,0.147,15,27,0.556,12,29,41,23,11,7,14,17,82,-1
11,240,33,84,0.39299999999999996,7,23,0.304,9,9,1.0,7,40,47,16,8,3,22,16,82,-1
12,240,28,81,0.34600000000000003,9,25,0.36,17,20,0.85,9,40,49,16,4,3,20,20,82,-1
13,240,33,92,0.359,2,16,0.125,15,20,0.75,11,34,45,16,6,3,12,16,83,-1
14,240,35,86,0.40700000000000003,8,20,0.4,5,9,0.556,9,32,41,21,6,4,16,13,83,-1
15,240,31,95,0.326,6,35,0.171,15,18,0.833,12,39,51,18,5,8,10,16,83,-1
16,240,32,87,0.368,6,22,0.273,13,16,0.813,4,40,44,15,11,9,14,19,83,-1
17,240,31,94,0.33,6,32,0.188,15,19,0.789,9,32,41,16,10,3,17,18,83,-1
18,240,35,89,0.39299999999999996,9,23,0.391,4,9,0.444,7,36,43,20,4,1,14,19,83,-1
19,240,33,85,0.38799999999999996,4,23,0.174,13,17,0.765,7,34,41,22,12,3,19,21,83,-1
20,240,30,86,0.349,8,27,0.29600000000000004,15,21,0.7140000000000001,7,27,34,21,13,3,22,19,83,-1
21,240,25,84,0.298,10,29,0.345,23,28,0.821,7,21,28,16,11,3,10,18,83,-1
22,240,30,82,0.366,14,36,0.389,10,15,0.667,10,30,40,22,7,4,21,19,84,-1
23,240,28,74,0.37799999999999995,12,40,0.3,16,22,0.727,6,39,45,20,4,6,15,16,84,-1
24,240,32,90,0.35600000000000004,6,32,0.188,14,19,0.737,12,34,46,23,4,3,14,20,84,-1
25,240,36,86,0.419,7,20,0.35,5,8,0.625,5,27,32,18,8,0,11,17,84,-1
26,240,29,77,0.377,12,33,0.364,14,24,0.583,2,28,30,16,10,2,13,22,84,-1
27,240,29,82,0.354,8,32,0.25,18,23,0.7829999999999999,10,40,50,18,6,6,15,22,84,-1
28,240,31,81,0.38299999999999995,5,27,0.185,18,25,0.72,11,27,38,15,9,7,11,14,85,-1
29,240,31,84,0.369,4,24,0.16699999999999998,19,20,0.95,7,31,38,22,7,3,15,17,85,-1
30,240,35,96,0.365,4,24,0.16699999999999998,11,12,0.917,10,37,47,14,6,6,11,13,85,-1
31,240,33,88,0.375,9,35,0.257,10,17,0.588,10,25,35,21,10,1,12,19,85,-1
32,240,34,84,0.405,7,28,0.25,10,14,0.7140000000000001,9,31,40,22,5,0,13,15,85,-1
33,240,34,87,0.391,5,35,0.14300000000000002,12,18,0.667,8,31,39,19,5,8,12,19,85,-1
34,240,31,96,0.32299999999999995,10,43,0.233,13,23,0.565,20,29,49,18,7,9,12,25,85,-1
35,240,27,84,0.321,12,40,0.3,19,23,0.826,11,37,48,20,9,8,22,13,85,-1
36,240,30,83,0.361,7,22,0.318,19,29,0.655,6,44,50,14,7,4,7,18,86,-1
37,240,36,86,0.419,8,34,0.235,6,8,0.75,4,39,43,27,2,6,18,14,86,-1
38,240,30,83,0.361,11,27,0.40700000000000003,15,23,0.652,8,45,53,14,4,2,15,19,86,-1
39,240,32,87,0.368,5,22,0.22699999999999998,17,28,0.607,12,36,48,20,6,4,21,20,86,-1
40,240,32,82,0.39,8,34,0.235,14,22,0.636,12,29,41,21,8,5,16,22,86,-1
41,240,35,88,0.39799999999999996,7,35,0.2,9,14,0.643,13,38,51,13,5,4,12,16,86,-1
42,240,33,82,0.402,8,28,0.28600000000000003,12,14,0.857,8,32,40,19,7,5,17,22,86,-1
43,240,35,91,0.385,5,27,0.185,11,14,0.7859999999999999,11,30,41,20,11,2,17,21,86,-1
44,240,25,74,0.33799999999999997,8,23,0.348,28,35,0.8,11,36,47,16,9,4,19,21,86,-1
45,240,35,91,0.385,5,33,0.152,11,20,0.55,17,34,51,16,11,4,14,22,86,-1
46,240,32,76,0.42100000000000004,4,18,0.222,18,22,0.818,12,32,44,18,2,5,17,24,86,-1
47,240,32,92,0.348,6,25,0.24,16,20,0.8,13,37,50,11,7,5,19,20,86,-1
48,240,33,89,0.371,9,31,0.29,11,13,0.846,12,39,51,17,3,4,20,26,86,-1
49,240,34,89,0.382,3,18,0.16699999999999998,15,16,0.938,16,37,53,18,5,2,15,19,86,-1
50,240,32,85,0.376,11,37,0.297,12,23,0.522,10,30,40,20,7,6,13,18,87,-1
